participantsID,a,Ter,eta,z,sz,st,v,AICc(5),BIC(5),Chi(5),df
d794e2c3b9ab247f,1.579769e-03,9.690246e-01,1.416603e-07,5.797694e-04,1.258902e-15,6.508419e-01,4.997981e+00,4.426399e+02,4.628204e+02,1.097324e+01,7
d9a79bcfee67b028,2.442688e-03,9.080888e-01,4.925697e-01,9.108030e-04,8.216060e-04,4.711564e-01,4.722387e+00,4.316625e+02,4.518430e+02,1.781931e+01,7
dfbeb23c419b6979,1.615157e-01,8.732764e-01,4.735714e-01,1.036167e-01,1.100966e-05,3.853506e-01,-2.496276e-02,3.299087e+02,3.500891e+02,1.184000e-02,7
e03130e76a547e00,8.567170e-01,2.346927e-01,3.898349e-01,4.292343e-01,4.004956e-01,3.152867e-01,1.981944e-01,3.031491e+02,3.233296e+02,3.137868e+21,7
e0da73d8b215a4e9,3.309454e-02,1.125233e+00,4.907382e-01,5.580952e-04,1.399402e-09,8.523603e-01,4.981777e+00,3.710142e+02,3.911947e+02,1.184000e-02,7
e35e2512791cd931,3.217827e-01,1.622081e+00,4.544988e-01,3.176745e-01,7.268855e-12,2.399871e+00,-4.113979e-01,3.212930e+02,3.414735e+02,2.758821e+01,7
e46f1f873f43128b,1.540749e-01,6.438377e-01,1.263427e-01,8.077183e-02,4.960341e-02,3.939156e-01,-4.428560e-03,4.297839e+02,4.499644e+02,2.113572e+00,7
e7d525b0fc295332,2.383032e-01,7.720711e-01,4.998225e-01,1.681939e-01,1.241129e-01,2.300613e-01,2.925032e-01,3.018084e+02,3.219889e+02,1.184002e-02,7
e9ca70bcef834214,1.757174e-01,1.341462e+00,3.300054e-01,1.543831e-02,4.125441e-03,1.035195e+00,-5.382323e-02,2.547797e+02,2.749602e+02,1.332000e-02,7
ec9403432374ee06,3.201190e-01,1.164834e+00,4.910704e-01,5.571654e-02,8.149513e-03,7.964002e-01,-1.952072e-03,2.816730e+02,3.018535e+02,1.283169e+00,7
ed3ee15cd6ecee51,2.330731e-01,1.073092e+00,3.454070e-01,2.716154e-02,7.969244e-03,5.595659e-01,7.674731e-03,3.056714e+02,3.258519e+02,1.332000e-02,7
efbc4b723940e000,2.602926e-01,1.117012e+00,2.783777e-01,3.387613e-02,7.801038e-03,4.621497e-01,-2.099305e-02,2.533246e+02,2.735051e+02,1.332000e-02,7
efe8a903afdceede,2.437432e-01,1.146753e+00,2.867081e-01,2.970538e-02,9.862765e-03,5.846123e-01,-4.362500e-02,2.636185e+02,2.837990e+02,1.332000e-02,7
f1de714332531aa5,2.438981e-01,7.794423e-01,4.914602e-01,2.004150e-01,4.130339e-02,1.948325e-01,2.471251e-01,3.027220e+02,3.229025e+02,1.184000e-02,7
f205d1277e6ea6b4,1.543115e+00,4.272170e-01,3.360586e-01,1.193374e+00,1.799960e-08,4.276735e-05,-3.655328e-02,2.310687e+02,2.512492e+02,3.667137e+69,7
f39ae9088896b47f,4.860864e-01,8.556305e-01,3.037656e-01,1.951834e-01,3.890236e-01,1.390887e+00,1.768050e-01,3.169686e+02,3.371491e+02,4.127628e+00,7
f98444c434d40f8b,3.797597e-01,3.017279e-01,4.968025e-01,9.547884e-02,7.428038e-02,4.158206e-01,2.925726e-01,4.127328e+02,4.329133e+02,4.109844e+01,7
fc7ef2c5b91399c2,1.891803e-01,6.728330e-01,2.611469e-01,8.951755e-02,1.127928e-01,4.063661e-01,-1.283826e-01,4.330733e+02,4.532537e+02,4.496186e+00,7
ff1d7a9a28686c2b,6.734923e-01,8.952613e-01,4.990950e-01,2.269581e-01,6.775337e-03,3.640803e-01,-4.500847e-02,2.364569e+02,2.565842e+02,1.982288e+00,7
