participantsID,a(101),Ter(101),eta(101),z(101),sz(101),st(101),v(101),a(102),Ter(102),eta(102),z(102),sz(102),st(102),v(102),AICc(1),BIC(1),Chi(1),df
5696a26f6b865ccb,1.573554e-01,4.395300e-01,2.000000e-01,1.238035e-02,6.664329e-02,4.667787e-01,9.055992e-02,1.388371e-01,5.977560e-01,2.000000e-01,9.637866e-03,6.664329e-02,4.667787e-01,1.435085e-01,1.677266e+03,1.702937e+03,2.552171e+06,9
582ab220066afebc,1.540681e-01,1.209815e+00,2.000000e-01,1.186849e-02,6.706668e-02,1.179072e+00,3.245032e-02,1.440060e-01,1.410345e+00,2.000000e-01,1.036887e-02,6.706668e-02,1.179072e+00,2.815612e-02,5.698935e+02,5.955641e+02,8.315047e+02,9
5b92bfe31aef1ef9,1.475237e-01,8.046932e-01,2.000000e-01,1.088162e-02,6.348131e-02,6.950197e-01,-1.272814e-01,1.346155e-01,7.397950e-01,2.000000e-01,9.060663e-03,6.348131e-02,6.950197e-01,2.043996e-01,1.376238e+03,1.401908e+03,3.651985e+06,9
61dce9b56e969395,1.403401e-01,7.042374e-01,2.000000e-01,9.847675e-03,6.526839e-02,6.066375e-01,1.459272e-02,1.497416e-01,6.438459e-01,2.000000e-01,1.121127e-02,6.526839e-02,6.066375e-01,5.033817e-02,9.600990e+02,9.857695e+02,1.486147e+03,9
6246f3d78ae6b481,1.183629e-01,8.238165e-01,2.000000e-01,7.004888e-03,6.305760e-02,7.099679e-01,3.139189e-02,1.618931e-01,7.538900e-01,2.000000e-01,1.310468e-02,6.305760e-02,7.099679e-01,6.460860e-02,1.666769e+03,1.692439e+03,3.204254e+06,9
6ac61d4f76c3add5,1.076310e-01,7.467586e-01,2.000000e-01,5.792218e-03,6.379691e-02,4.736819e-01,-1.046177e-01,1.759108e-01,3.058678e-01,2.000000e-01,1.547230e-02,6.379691e-02,4.736819e-01,8.619980e-02,7.570605e+02,7.827310e+02,3.076138e+03,9
6b1327cc38c17c20,1.182000e-01,1.027466e+00,2.000000e-01,6.985619e-03,5.247581e-02,9.040864e-01,-8.617340e-02,1.150258e-01,9.816148e-01,2.000000e-01,6.615470e-03,5.247581e-02,9.040864e-01,-5.002043e-02,4.890276e+02,5.146982e+02,3.479530e+02,9
6d04498f5bb2aefc,9.950776e-02,9.641519e-01,2.000000e-01,4.950897e-03,4.854641e-02,8.610327e-01,2.473506e-02,1.162541e-01,9.492542e-01,2.000000e-01,6.757505e-03,4.854641e-02,8.610327e-01,1.379243e-02,7.560041e+02,7.816747e+02,2.170027e+03,9
6dcbb2d2c8c4d46a,1.277929e-01,7.599278e-01,2.000000e-01,8.165511e-03,5.959961e-02,6.452343e-01,2.251159e-02,1.370943e-01,6.739262e-01,2.000000e-01,9.397417e-03,5.959961e-02,6.452343e-01,4.196851e-02,8.501765e+02,8.758471e+02,1.313964e+03,9
6df05dd94d8d774d,1.533224e-01,8.444247e-01,2.000000e-01,1.175388e-02,7.178059e-02,7.941089e-01,-8.085517e-02,1.657024e-01,9.202618e-01,2.000000e-01,1.372865e-02,7.178059e-02,7.941089e-01,-1.660528e-01,4.244218e+02,4.500923e+02,1.134217e+02,9
6e0c43d93a4a361e,1.287595e-01,6.394613e-01,2.000000e-01,8.289507e-03,5.629482e-02,5.694073e-01,6.732012e-02,1.214397e-01,6.258882e-01,2.000000e-01,7.373798e-03,5.629482e-02,5.694073e-01,4.031205e-02,1.023358e+03,1.049029e+03,1.850494e+03,9
6ece121c0867568c,1.411353e-01,5.928057e-01,2.000000e-01,9.959591e-03,5.456793e-02,7.179423e-01,1.269533e-01,1.013888e-01,1.002622e+00,2.000000e-01,5.139844e-03,5.456793e-02,7.179423e-01,-3.999112e-02,8.324975e+02,8.581680e+02,1.459867e+03,9
739442e141b9639a,1.769804e-01,3.193308e-01,2.000000e-01,1.566103e-02,6.870476e-02,4.054294e-01,-6.054815e-02,1.283741e-01,5.816234e-01,2.000000e-01,8.239955e-03,6.870476e-02,4.054294e-01,1.249026e-02,1.459605e+03,1.485276e+03,7.551068e+05,9
74dc2bc1712979fe,1.587623e-01,6.391820e-01,2.000000e-01,1.260274e-02,6.616142e-02,6.257832e-01,-3.984085e-02,1.352884e-01,7.514472e-01,2.000000e-01,9.151482e-03,6.616142e-02,6.257832e-01,-1.185191e-02,7.153075e+02,7.409781e+02,6.783129e+02,9
75da8965ce4f9b28,1.250786e-01,9.145359e-01,2.000000e-01,7.822329e-03,5.431468e-02,8.848016e-01,-4.216188e-02,1.163200e-01,1.051690e+00,2.000000e-01,6.765167e-03,5.431468e-02,8.848016e-01,-2.073264e-02,5.644779e+02,5.900779e+02,5.381464e+02,9
77d9b25715656b19,1.207763e-01,6.648194e-01,2.000000e-01,7.293454e-03,5.658116e-02,5.827994e-01,-1.707230e-03,1.306956e-01,6.302904e-01,2.000000e-01,8.540664e-03,5.658116e-02,5.827994e-01,6.482989e-02,9.624170e+02,9.880170e+02,1.466784e+03,9
7e158eee0bbe3c33,1.468656e-01,1.009125e+00,2.000000e-01,1.078475e-02,6.279123e-02,8.854179e-01,4.929125e-02,1.322066e-01,9.584706e-01,2.000000e-01,8.739286e-03,6.279123e-02,8.854179e-01,7.143834e-02,7.159822e+02,7.416528e+02,1.769290e+03,9
819c4ba6a036130b,1.094340e-01,5.637616e-01,2.000000e-01,5.987903e-03,4.800680e-02,5.280734e-01,1.495234e-02,1.039295e-01,6.097347e-01,2.000000e-01,5.400675e-03,4.800680e-02,5.280734e-01,3.105694e-02,1.060385e+03,1.086055e+03,1.922913e+03,9
820fed1432e2cffc,1.969049e-01,8.751369e-01,2.000000e-01,1.938576e-02,7.967783e-02,9.335047e-01,1.163715e-01,1.572188e-01,1.199318e+00,2.000000e-01,1.235888e-02,7.967783e-02,9.335047e-01,-2.053020e-02,5.102695e+02,5.359400e+02,6.219692e+02,9
8364d0796dcecadf,1.885610e-01,1.016077e+00,2.000000e-01,1.777763e-02,7.904176e-02,9.584906e-01,1.153341e-01,1.627357e-01,1.113903e+00,2.000000e-01,1.324146e-02,7.904176e-02,9.584906e-01,9.317853e-02,7.264695e+02,7.521401e+02,3.430164e+03,9
84397dc336c286b4,1.526996e-01,6.902727e-01,2.000000e-01,1.165858e-02,6.894444e-02,6.439690e-01,2.711047e-02,1.537202e-01,7.407694e-01,2.000000e-01,1.181494e-02,6.894444e-02,6.439690e-01,9.864337e-02,8.613414e+02,8.870120e+02,1.422891e+03,9
865f30c3abd2af67,1.180277e-01,5.934952e-01,2.000000e-01,6.965267e-03,4.984868e-02,6.211837e-01,5.359103e-02,1.035220e-01,7.869131e-01,2.000000e-01,5.358404e-03,4.984868e-02,6.211837e-01,6.407277e-02,1.046180e+03,1.071851e+03,2.048278e+04,9
88316d88dd9fdbf7,1.579329e-01,9.013496e-01,2.000000e-01,1.247140e-02,7.245798e-02,8.466204e-01,4.094316e-02,1.641026e-01,9.800291e-01,2.000000e-01,1.346483e-02,7.245798e-02,8.466204e-01,3.854434e-02,6.352598e+02,6.607170e+02,9.106161e+02,9
88586c741f59e4d3,1.554948e-01,7.457289e-01,2.000000e-01,1.208932e-02,6.596563e-02,7.933013e-01,4.761574e-02,1.376858e-01,1.017163e+00,2.000000e-01,9.478686e-03,6.596563e-02,7.933013e-01,6.859544e-02,7.979414e+02,8.234703e+02,3.667516e+03,9
8b79e9cd1e3a58e9,1.408505e-01,1.076989e+00,2.000000e-01,9.919429e-03,6.189820e-02,1.140383e+00,5.139626e-02,1.342526e-01,1.457194e+00,2.000000e-01,9.011883e-03,6.189820e-02,1.140383e+00,3.646471e-02,6.508912e+02,6.765617e+02,1.140141e+03,9
8e3374a0d50454e0,1.512932e-01,5.104865e-01,2.000000e-01,1.144482e-02,5.904900e-02,5.086163e-01,3.304550e-02,1.111468e-01,6.197719e-01,2.000000e-01,6.176803e-03,5.904900e-02,5.086163e-01,1.976867e-01,1.585455e+03,1.611126e+03,2.122048e+06,9
8e531917bed03e00,1.476703e-01,8.342283e-01,2.000000e-01,1.090325e-02,6.604842e-02,7.890685e-01,6.204978e-02,1.458783e-01,9.192572e-01,2.000000e-01,1.064024e-02,6.604842e-02,7.890685e-01,3.944139e-02,7.177939e+02,7.434645e+02,1.214985e+03,9
946fca84b1d53bed,1.311834e-01,8.231151e-01,2.000000e-01,8.604547e-03,5.850399e-02,7.920198e-01,-9.345869e-03,1.288343e-01,9.369289e-01,2.000000e-01,8.299140e-03,5.850399e-02,7.920198e-01,9.823985e-02,7.283697e+02,7.540403e+02,3.619414e+03,9
96b09fe2762bafab,1.597490e-01,8.705722e-01,2.000000e-01,1.275987e-02,6.942701e-02,7.123253e-01,-8.519470e-02,1.488155e-01,7.123729e-01,2.000000e-01,1.107303e-02,6.942701e-02,7.123253e-01,3.289632e-02,5.975763e+02,6.232468e+02,5.926305e+02,9
99bca86575635ced,1.114588e-01,7.678158e-01,2.000000e-01,6.211536e-03,5.134563e-02,6.484254e-01,-4.485566e-02,1.167440e-01,6.731297e-01,2.000000e-01,6.814578e-03,5.134563e-02,6.484254e-01,-1.373455e-02,7.409965e+02,7.666670e+02,6.805516e+02,9
9d781c40d36055b2,1.165643e-01,6.401239e-01,2.000000e-01,6.793613e-03,4.963290e-02,6.546747e-01,1.114650e-01,1.040264e-01,8.147088e-01,2.000000e-01,5.410745e-03,4.963290e-02,6.546747e-01,-7.245967e-02,9.225204e+02,9.481909e+02,1.703957e+03,9
9e5ca4f7d45dda1b,1.206889e-01,1.061832e+00,2.000000e-01,7.282902e-03,6.163375e-02,9.037644e-01,-1.283311e-01,1.532389e-01,9.465337e-01,2.000000e-01,1.174108e-02,6.163375e-02,9.037644e-01,1.046357e-02,4.463121e+02,4.719121e+02,2.516917e+02,9
9ead7cfe118211af,1.179899e-01,7.298833e-01,2.000000e-01,6.960806e-03,5.131924e-02,5.922201e-01,7.765842e-02,1.100956e-01,5.861613e-01,2.000000e-01,6.060521e-03,5.131924e-02,5.922201e-01,6.024711e-02,1.071174e+03,1.096845e+03,2.829477e+03,9
a0891b37b5b5d79d,1.122501e-01,7.132769e-01,2.000000e-01,6.300037e-03,4.848285e-02,6.796014e-01,-1.457723e-02,1.032293e-01,7.969484e-01,2.000000e-01,5.328143e-03,4.848285e-02,6.796014e-01,1.013248e-01,9.519877e+02,9.776582e+02,1.157279e+04,9
a0b880b91c2982dc,1.566392e-01,9.351499e-01,2.000000e-01,1.226792e-02,6.766177e-02,9.096069e-01,4.621570e-02,1.440798e-01,1.086199e+00,2.000000e-01,1.037950e-02,6.766177e-02,9.096069e-01,-2.240240e-02,5.926088e+02,6.182794e+02,6.860144e+02,9
