participantsID,a(101),Ter(101),eta(101),z(101),sz(101),st(101),v(101),a(102),Ter(102),eta(102),z(102),sz(102),st(102),v(102)
221e9f16c114b2c0,1.392639e-01,9.202150e-01,1.867671e-01,9.202715e-02,9.347357e-02,4.642518e-01,6.380592e-02,1.392639e-01,9.202150e-01,1.867671e-01,1.052481e-01,1.853659e-03,5.060485e-01,6.380592e-02
22d84796012679e8,2.946178e-01,1.336391e+01,2.453431e-05,2.936178e-01,3.273365e-04,1.083892e+00,1.778184e-01,2.946178e-01,1.336391e+01,2.453431e-05,4.097571e-02,4.624262e-02,1.748003e-07,1.778184e-01
247384e4eccc4f80,1.211538e-01,6.988122e-01,1.138882e-02,2.684356e-02,3.713535e-05,2.662861e-01,6.327167e-02,1.211538e-01,6.988122e-01,1.138882e-02,6.775173e-02,6.089827e-02,4.837179e-04,6.327167e-02
2737c4b829b3018f,7.553824e-02,7.222987e-01,7.796772e-03,3.419963e-02,4.797366e-02,3.565931e-01,-4.779711e-02,7.553824e-02,7.222987e-01,7.796772e-03,4.335767e-02,6.336112e-02,3.775801e-01,-4.779711e-02
27902f23b60a7b76,8.213508e-02,1.438283e+00,3.167723e-01,3.441206e-02,4.252703e-02,7.582410e-01,1.390562e-02,8.213508e-02,1.438283e+00,3.167723e-01,5.722349e-02,4.802453e-02,1.260085e+00,1.390562e-02
279cd1540fc8f71f,1.198731e-01,6.981910e-01,1.697281e-01,1.007243e-01,3.704788e-02,6.783819e-01,2.462687e-02,1.198731e-01,6.981910e-01,1.697281e-01,8.919725e-02,6.035179e-02,5.010184e-01,2.462687e-02
296a71628065dfa8,1.266437e-01,1.770057e+00,2.013425e-01,6.135362e-02,5.530657e-02,1.412424e+00,-6.700589e-03,1.266437e-01,1.770057e+00,2.013425e-01,6.143732e-02,5.618297e-02,1.417368e+00,-6.700589e-03
2a531595d6ab08c8,1.609396e-01,8.462613e-01,2.570396e-01,1.051384e-01,6.810656e-02,3.210259e-01,-1.154197e-02,1.609396e-01,8.462613e-01,2.570396e-01,1.295006e-01,6.187789e-02,3.738772e-01,-1.154197e-02
2adc46a1bfc70679,2.232568e-01,1.213501e+00,5.000000e-01,3.467493e-02,6.834986e-02,1.132832e+00,-7.637671e-03,2.232568e-01,1.213501e+00,5.000000e-01,6.305701e-02,8.877665e-04,1.496336e+00,-7.637671e-03
322d6276c00056e7,1.001462e-01,8.026718e-01,7.845757e-02,7.789594e-02,4.350046e-02,3.574697e-01,-1.858491e-02,1.001462e-01,8.026718e-01,7.845757e-02,9.914618e-02,5.484287e-05,1.752170e-02,-1.858491e-02
371fb6652968f25f,1.964186e-01,7.707965e-01,1.809932e-02,1.113960e-01,1.034450e-02,1.465459e-01,9.743424e-01,1.964186e-01,7.707965e-01,1.809932e-02,1.313260e-01,2.690503e-02,6.909457e-02,9.743424e-01
3ddf191ed8c33c57,1.779775e-01,7.981785e-01,1.099871e-01,1.700001e-01,2.155569e-03,5.254857e-06,-2.732439e-01,1.779775e-01,7.981785e-01,1.099871e-01,1.684149e-01,1.812459e-02,5.146901e-01,-2.732439e-01
414f1040212a659b,1.448695e-01,7.712259e-01,2.226885e-01,9.122165e-02,1.061981e-01,2.678445e-08,3.099105e-04,1.448695e-01,7.712259e-01,2.226885e-01,1.057541e-01,3.155386e-10,1.529004e-01,3.099105e-04
46099f8b742520b0,9.518058e-02,7.795210e-01,4.886187e-01,7.717715e-02,3.500685e-02,3.501399e-01,1.264102e-04,9.518058e-02,7.795210e-01,4.886187e-01,6.547402e-02,2.137887e-05,2.742333e-01,1.264102e-04
46fd6e0b3b5c1df3,1.119461e-01,7.887270e-01,3.926640e-09,1.109461e-01,9.976378e-04,5.479890e-01,-5.044238e-02,1.119461e-01,7.887270e-01,3.926640e-09,8.001306e-02,4.330382e-05,1.611747e-01,-5.044238e-02
4866612e834a9f5a,1.213382e-01,7.223369e-01,1.164118e-10,6.387752e-02,9.320022e-02,5.222246e-01,-3.547548e-02,1.213382e-01,7.223369e-01,1.164118e-10,7.593610e-02,2.305715e-05,5.216877e-01,-3.547548e-02
49c4e664cf02d362,1.763093e-01,9.440924e-01,8.761041e-10,9.023519e-03,2.091434e-03,5.537911e-01,1.967636e-01,1.763093e-01,9.440924e-01,8.761041e-10,1.753093e-01,9.793883e-04,4.992589e-01,1.967636e-01
4a43f99c56b2a634,1.066178e-01,1.020289e+00,8.201852e-02,1.708626e-03,2.338508e-03,6.403751e-01,1.496351e+00,1.066178e-01,1.020289e+00,8.201852e-02,8.115390e-02,6.459634e-10,6.103468e-01,1.496351e+00
4a6bf10e80304920,1.604958e-01,5.505299e-01,1.126135e-01,9.290025e-02,9.508327e-02,6.838954e-01,6.329081e-03,1.604958e-01,5.505299e-01,1.126135e-01,8.906406e-02,1.415125e-01,2.630597e-01,6.329081e-03
4dee88b397c3bbf4,5.389687e-01,6.429116e-01,1.535117e-01,3.313784e-01,2.624243e-01,4.250185e-03,7.382325e-02,5.389687e-01,6.429116e-01,1.535117e-01,2.028378e-01,3.799982e-01,1.295248e-06,7.382325e-02
4e3de1ed1c0d6103,1.503359e-01,6.040117e-01,6.933283e-04,4.828367e-02,8.859316e-02,1.689888e-01,-4.698334e-02,1.503359e-01,6.040117e-01,6.933283e-04,1.834626e-02,3.569252e-02,1.923070e-01,-4.698334e-02
52abc657a668b04e,1.755463e-01,7.990032e-01,2.520403e-01,1.236392e-01,2.756129e-04,3.239057e-01,6.081578e-02,1.755463e-01,7.990032e-01,2.520403e-01,1.083954e-01,1.171265e-01,2.061308e-14,6.081578e-02
5497867d4afb5993,1.012682e-01,5.705189e-01,7.927810e-02,1.579513e-02,3.058676e-02,3.830377e-01,-1.523933e-01,1.012682e-01,5.705189e-01,7.927810e-02,5.083700e-02,9.981486e-02,1.782870e-01,-1.523933e-01
5696a26f6b865ccb,1.047387e-01,9.118457e-01,6.986283e-02,8.891171e-02,3.065408e-02,8.412584e-01,-1.446990e-02,1.047387e-01,9.118457e-01,6.986283e-02,1.020680e-01,4.341481e-03,9.024647e-01,-1.446990e-02
582ab220066afebc,1.331347e-01,1.613839e+00,1.876592e-01,8.055452e-02,6.756702e-02,1.115283e+00,3.189512e-02,1.331347e-01,1.613839e+00,1.876592e-01,7.631364e-02,5.697161e-02,1.153149e+00,3.189512e-02
5b92bfe31aef1ef9,1.513816e-01,8.300848e-01,7.468763e-13,1.932341e-02,3.758500e-02,3.707442e-01,2.051526e-02,1.513816e-01,8.300848e-01,7.468763e-13,1.401176e-01,2.152808e-02,1.226357e-01,2.051526e-02
61dce9b56e969395,2.779997e-01,7.609292e-01,4.999999e-01,2.358447e-01,1.101712e-02,3.370779e-09,3.996288e-02,2.779997e-01,7.609292e-01,4.999999e-01,9.976759e-02,9.801001e-02,6.942598e-01,3.996288e-02
6246f3d78ae6b481,1.153707e-01,1.236424e+00,5.000000e-01,8.949188e-02,2.023515e-02,1.031033e+00,1.195444e-03,1.153707e-01,1.236424e+00,5.000000e-01,1.027688e-01,2.412425e-02,8.748474e-01,1.195444e-03
6ac61d4f76c3add5,1.312744e-01,8.061920e-01,1.817196e-01,2.107919e-02,4.507988e-03,6.538578e-01,9.262588e-03,1.312744e-01,8.061920e-01,1.817196e-01,1.302643e-01,1.020102e-03,1.560057e-01,9.262588e-03
6b1327cc38c17c20,7.649519e-02,9.727716e-01,5.000000e-01,3.483681e-02,1.465025e-02,8.559668e-02,-2.873656e-01,7.649519e-02,9.727716e-01,5.000000e-01,3.824713e-02,7.549414e-02,3.497144e-01,-2.873656e-01
6d04498f5bb2aefc,1.735475e-01,1.020104e+00,4.479205e-01,1.112743e-01,1.233090e-01,4.418339e-01,-5.186977e-03,1.735475e-01,1.020104e+00,4.479205e-01,1.258404e-01,3.601543e-03,6.647514e-01,-5.186977e-03
6dcbb2d2c8c4d46a,1.810149e-01,7.471218e-01,2.325751e-01,8.344969e-02,1.658994e-01,1.532700e-01,7.103792e-02,1.810149e-01,7.471218e-01,2.325751e-01,1.210113e-01,1.575148e-03,1.700369e-01,7.103792e-02
6df05dd94d8d774d,1.865516e-01,9.203468e-01,3.639874e-01,4.586863e-02,9.073727e-02,5.616645e-01,-1.862882e-01,1.865516e-01,9.203468e-01,3.639874e-01,3.184940e-03,5.323777e-03,5.489889e-01,-1.862882e-01
6e0c43d93a4a361e,3.210162e-01,5.980270e-01,4.431860e-01,1.446340e-01,2.149387e-01,4.605669e-01,2.247581e-01,3.210162e-01,5.980270e-01,4.431860e-01,1.510194e-01,2.624845e-01,3.787830e-04,2.247581e-01
